raw_file_id,survey_id,raw_source,archive_path,inner_name,file_size,platform,ingested_at
raw_0058,survey_ab48417e3e8f,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Анкета_для_49hTEA8ECzCcDTM8rFDQz8_2026-6-4.xlsx,Анкета_для_49hTEA8ECzCcDTM8rFDQz8_2026-6-4.xlsx,213305,XLSX,2026-06-04T02:24:21
raw_0059,survey_b8c0f3bb60f5,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Копия_Опро_PPCNUFC99GtazhfrXBAMAq_2026-6-4.xlsx,Копия_Опро_PPCNUFC99GtazhfrXBAMAq_2026-6-4.xlsx,239527,XLSX,2026-06-04T02:24:21
raw_0060,survey_b20b16ad58c4,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Азбука_вку_LtcrBwtUAmW8DSiiyWckut_2026-6-4.xlsx,Азбука_вку_LtcrBwtUAmW8DSiiyWckut_2026-6-4.xlsx,554726,XLSX,2026-06-04T02:24:21
raw_0061,survey_25d7c035b36b,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,EN_от_28.0_4YQbF9gQQCyBbcVhcnFn3Z_2026-6-4.xlsx,EN_от_28.0_4YQbF9gQQCyBbcVhcnFn3Z_2026-6-4.xlsx,201261,XLSX,2026-06-04T02:24:21
raw_0062,survey_d560fdc6f952,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Продвинуты_C5nXHBCxWNrKk1MRaPZRyG_2026-6-4.xlsx,Продвинуты_C5nXHBCxWNrKk1MRaPZRyG_2026-6-4.xlsx,159650,XLSX,2026-06-04T02:24:21
raw_0063,survey_d539d407c329,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_про__4jqZWZQJ5pskW2unUStzkF_2026-6-4.xlsx,Опрос_про__4jqZWZQJ5pskW2unUStzkF_2026-6-4.xlsx,126039,XLSX,2026-06-04T02:24:21
raw_0064,survey_0f42d1ee9d1e,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Городской__7aDQjhG5R6vMEWk4xG9ooX_2026-6-4.xlsx,Городской__7aDQjhG5R6vMEWk4xG9ooX_2026-6-4.xlsx,70582,XLSX,2026-06-04T02:24:21
raw_0065,survey_6809899f2adc,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Юнифарм_8QaYzvG5KVMaqPWmXtiSzq_2026-6-4.xlsx,Юнифарм_8QaYzvG5KVMaqPWmXtiSzq_2026-6-4.xlsx,361637,XLSX,2026-06-04T02:24:21
raw_0066,survey_1836c93a275c,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,ГВ_XLshbx88jBFVqyRev1tkAT_2026-6-4.xlsx,ГВ_XLshbx88jBFVqyRev1tkAT_2026-6-4.xlsx,144043,XLSX,2026-06-04T02:24:21
raw_0067,survey_51513f63bd0d,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_про__AQf3X1AvA3u9nm9n9Jk5oS_2026-6-4.xlsx,Опрос_про__AQf3X1AvA3u9nm9n9Jk5oS_2026-6-4.xlsx,451053,XLSX,2026-06-04T02:24:21
